ID,_Map,_Name,_type
1403,230-01,華納海姆 崩壞之塔 2,Field
1404,230-02,華納海姆 崩壞之塔 3,Field
1405,230-03,華納海姆 崩壞之塔 塔頂,Field
1406,230-04,華納海姆 崩壞之塔 塔頂,Field
1407,231-00,陰森村莊 1,PARTY
1408,231-01,陰森村莊 2,PARTY
1409,231-02,陰森村莊 3,PARTY
1410,231-03,陰森村莊 4,PARTY
1411,231-04,陰森村莊 5,PARTY
1412,232-00,gm活動地圖,Safety zone
1413,232-01,萬聖節怪物派對,Safety zone
1414,232-02,萬聖節戰擊皇家,Safety zone
1415,232-03,萬聖節戰擊皇家等候室,Safety zone
1416,232-04,萬聖節戰擊皇家獎勵之房,Safety zone
1417,232-05,試驗等候室,Safety zone
1418,232-06,速度試場,Safety zone
1419,232-07,筆試試場,Safety zone
1420,232-08,力量試場,Safety zone
1421,233-00,日落平原 1,Field
1422,233-01,日落平原 2,Field
1423,233-02,日落平原 3,Field
1424,234-00,天空號,Safety zone
1425,234-01,天空號,Safety zone
1426,234-02,天空號,Safety zone
1427,235-00,市中心1,Field
1428,235-01,市中心2,Field
1429,235-02,市中心3,Field
1430,235-03,市中心4,Field
1431,236-00,奧勒蓋米爾研究所1,Field
1432,236-01,奧勒蓋米爾研究所2,Field
1433,236-02,奧勒蓋米爾研究所3,Field
1434,237-00,神奇街道,Single
1435,237-01,神奇街道,Single
1436,237-02,神奇街道,Single
1437,238-00,漂流都市,Safety zone
1438,239-00,漂流都市,Safety zone
1439,240-00,漂流都市1,Field
1440,240-01,漂流都市2,Field
1441,240-02,漂流都市3,Field
1442,241-00,MG 墜落地,PARTY
1443,241-01,MG 墜落地,PARTY
1444,241-02,MG 墜落地,PARTY
1445,242-00,高速公路,Safety zone
1446,243-00,廢棄高樓,Safety zone
1447,244-00,高速公路,Safety zone
1448,245-00,高速公路,Safety zone
1449,246-00,高速公路,PARTY
1450,246-01,高速公路,PARTY
1451,246-02,高速公路,PARTY
1452,247-00,廢棄高樓,Safety zone
1453,248-00,廢棄高樓,Safety zone
1454,249-00,廢棄高樓,PARTY
1455,250-00,廢棄高樓,PARTY
1456,251-00,廢棄高樓,PARTY
1457,252-00,伊米勒研究所 入口,PARTY
1458,252-01,伊米勒研究所1,PARTY
1459,252-02,伊米勒研究所2,PARTY
1460,252-03,伊米勒研究所3,PARTY
1461,252-04,伊米勒研究所4,PARTY
1462,252-05,伊米勒研究所5,PARTY
1463,252-06,伊米勒研究所6,PARTY
1464,252-07,伊米勒研究所7,PARTY
1465,252-08,伊米勒研究所8,PARTY
1466,252-09,伊米勒研究所9,PARTY
1467,252-10,伊米勒研究所10,PARTY
1468,252-11,愛麗絲的第四座石塔,Safety zone
1469,253-00,聖誕節活動,Safety zone
1470,254-00,深夜餐廳,Single
1471,255-00,大亂鬥,PARTY
1472,256-00,白色教堂後巷 1,Field
1473,256-01,白色教堂後巷 2,Field
1474,256-02,白色教堂後巷 3,Field
1475,257-00,限時闖關精靈樹 1,PARTY
1476,257-01,限時闖關精靈樹 2,PARTY
1477,257-02,限時闖關精靈樹 3,PARTY
1478,257-03,限時闖關精靈樹 4,PARTY
1479,257-04,限時闖關精靈樹 5,PARTY
1480,257-05,限時闖關精靈樹 6,PARTY
1481,257-06,限時闖關精靈樹 7,PARTY
1482,257-07,限時闖關精靈樹 8,PARTY
1483,258-00,限時闖關 金蘭雲系  1,PARTY
1484,258-01,限時闖關 金蘭雲系  2,PARTY
1485,258-02,限時闖關 金蘭雲系  3,PARTY
1486,258-03,限時闖關 金蘭雲系  4,PARTY
1487,258-04,限時闖關 金蘭雲系  5,PARTY
1488,258-05,限時闖關 金蘭雲系  6,PARTY
1489,258-06,限時闖關 金蘭雲系  7,PARTY
1490,258-07,限時闖關 金蘭雲系  8,PARTY
1491,259-00,格鬥場 武術大賽會場,Safety zone
1492,260-00,格鬥場 獨木橋,Safety zone
1493,261-00,格鬥場 延長賽1,Safety zone
1494,262-00,格鬥場 延長賽2,Safety zone
1495,263-00,兒童節活動場地,Safety zone
1496,263-01,兒童節活動場地大廳,Safety zone
1497,264-00,母親節活動海邊,Safety zone
1498,265-00,星星好康房間,Safety zone
1499,266-00,華納海姆 1,Field
1500,266-01,華納海姆 2,Field
1501,266-02,華納海姆 3,Field
1502,266-03,華納海姆 4,Field
1503,266-04,華納海姆 5,Field
1504,266-05,華納海姆 2,Field
1505,266-06,華納海姆 5,Field
1506,267-00,哥德式博物館 1層,Field
1507,267-01,哥德式博物館 1層,Field
1508,268-00,哥德式博物館外部地區,Field
1509,268-01,哥德式博物館外部地區,Field
1510,269-00,哥德式博物館 2層,Field
1511,269-01,哥德式博物館 2層,Field
1512,270-00,哥德式博物館 3層,Field
1513,270-01,哥德式博物館 3層,Field
1514,271-00,花之路 1,PARTY
1515,271-01,花之路 2,PARTY
1516,271-02,花之路 3,PARTY
1517,271-03,花之路 4,PARTY
1518,271-04,花之路 5,PARTY
1519,271-05,花之路陷阱房,PARTY
1520,271-06,花之路鑰匙房,PARTY
1521,272-00,月之路 1,PARTY
1522,272-01,月之路 2,PARTY
1523,272-02,月之路 3,PARTY
1524,272-03,月之路 4,PARTY
1525,272-04,月之路 5,PARTY
1526,272-05,月之路陷阱房 1,PARTY
1527,272-06,月之路陷阱房 2,PARTY
1528,272-07,月之路陷阱房 3,PARTY
1529,272-08,月之路陷阱房 4,PARTY
1530,272-09,月之路鑰匙房,PARTY
1531,273-00,夢之路 1,PARTY
1532,273-01,夢之路 2,PARTY
1533,273-02,夢之路 3,PARTY
1534,273-03,夢之路 4,PARTY
1535,273-04,夢之路 5,PARTY
1536,273-05,夢之路 6,PARTY
1537,273-06,夢之路 7,PARTY
1538,273-07,夢之路獎勵房 1,PARTY
1539,273-08,夢之路獎勵房 2,PARTY
1540,273-09,新月祭壇,PARTY
1541,273-10,新月祭壇,PARTY
1542,273-11,新月祭壇,PARTY
1543,273-12,新月祭壇,PARTY
1544,273-13,新月祭壇,PARTY
1545,273-14,新月祭壇,PARTY
1546,273-15,夢之路,PARTY
1547,273-16,愛麗絲的考驗 1,Safety zone
1548,273-17,愛麗絲的考驗 2,Safety zone
1549,273-18,愛麗絲的考驗 3,Safety zone
1550,273-19,愛麗絲的第十四座石塔,Safety zone
1551,273-20,無限戰鬥,Field
1552,274-00,華納海姆 5,Field
1553,274-01,華納海姆 5,Field
1554,274-02,華納海姆 5,Field
1555,274-03,華納海姆 5,Field
1556,275-00,世界樹 1,Field
1557,275-01,世界樹 2,Field
1558,275-02,世界樹 3,Field
1559,275-03,世界樹 4,Field
1560,275-04,世界樹 5,Field
1561,275-05,世界樹 6,Field
1562,275-06,世界樹 2,Field
1563,275-07,世界樹 2,Field
1564,275-08,世界樹 2,Field
1565,276-00,烏勒多的泉水,Single
1566,276-01,烏勒多的泉水,Single
1567,276-02,烏勒多的泉水,Single
1568,276-03,烏勒多的泉水,Single
1569,276-04,烏勒多的泉水,Single
1570,276-05,烏勒多的泉水,Single
1571,277-00,烏勒多的泉水,Field
1572,277-01,烏勒多的泉水,Field
1573,277-02,烏勒多的泉水,Field
1574,278-00,彩虹的末端,Field
1575,278-01,彩虹的末端,Field
1576,278-02,彩虹的末端,Field
1577,278-03,彩虹的末端,Field
1578,278-04,彩虹的末端,Field
1579,278-05,彩虹的末端,Field
1580,278-06,彩虹的末端,Field
1581,278-07,彩虹的末端,Field
1582,278-08,彩虹的末端,Field
1583,278-09,彩虹的末端,Field
1584,278-10,彩虹的末端,Field
1585,278-11,貝羅斯村莊,Field
1586,279-00,彩虹的末端,Single
1587,279-01,彩虹的末端,Single
1588,279-02,彩虹的末端,Single
1589,279-03,彩虹的末端,Single
1590,279-04,彩虹的末端,Single
1591,279-05,彩虹的末端,Single
1592,279-06,彩虹的末端,Single
1593,279-07,彩虹的末端,Single
1594,279-08,彩虹的末端,Single
1595,279-09,彩虹的末端,Single
1596,280-00,彩虹的末端,Field
1597,280-01,彩虹的末端,Field
1598,280-02,彩虹的末端,Field
1599,280-03,魔王的內心世界,Field
1600,281-00,異世界,Field
1601,282-00,世界樹的幻影入口 1,Field
1602,282-01,世界樹的幻影入口 2,Field
1603,282-02,世界樹的幻影入口 3,Field
1604,283-00,世界樹的幻影 1,PARTY
1605,283-01,世界樹的幻影 2,PARTY
1606,283-02,世界樹的幻影 3,PARTY
1607,283-03,世界樹的幻影 4,PARTY
1608,283-04,世界樹的幻影 5,PARTY
1609,283-05,世界樹的幻影 6,PARTY
1610,283-06,世界樹的幻影 7,PARTY
1611,283-07,世界樹的幻影 8,PARTY
1612,283-08,世界樹的幻影 9,PARTY
1613,283-09,世界樹的幻影 10,PARTY
1614,283-10,愛麗絲的第五座石塔,Safety zone
1615,284-00,彩虹的末端,PARTY
1616,284-01,彩虹的末端,PARTY
1617,285-00,地鐵站,PARTY
1618,285-01,地鐵站,PARTY
1619,286-00,吉恩蒂亞公園大廳,Field
1620,286-01,未知的倉庫大廳,Field
1621,286-02,未知的倉庫大廳,Field
1622,286-03,未知的倉庫大廳,Field
1623,286-04,未知的倉庫大廳,Field
1624,286-05,未知的倉庫大廳,Field
1625,286-06,未知的倉庫大廳,Field
1626,287-00,無樹平原 1,Field
1627,287-01,無樹平原 2,Field
1628,287-02,無樹平原 3,Field
1629,287-03,無樹平原 4,Field
1630,287-04,無樹平原 5,Field
1631,287-05,無樹平原 6,Field
1632,287-06,火山地帶 1,Field
1633,287-07,火山地帶 2,Field
1634,287-08,火山地帶 3,Field
1635,287-09,火山地帶 4,Field
1636,288-00,冒險家的殿堂 1,Single
1637,288-01,冒險家的殿堂 2,Single
1638,288-02,冒險家的殿堂 3,Single
1639,288-03,冒險家的殿堂 4,Single
1640,288-04,冒險家的殿堂 5,Single
1641,288-05,冒險家的殿堂 6,Single
1642,289-00,櫻樹湖畔 7,PARTY
1643,289-01,櫻樹湖畔 7,PARTY
1644,289-02,櫻樹湖畔 7,PARTY
1645,289-03,櫻樹湖畔 7,PARTY
1646,289-04,櫻樹湖畔 7,PARTY
1647,289-05,安靜的湖畔,Field
1648,290-00,記憶的記錄,Field
1649,290-01,記憶的記錄,Field
1650,290-02,記憶的記錄,Field
1651,290-03,記憶的記錄,Field
1652,290-04,記憶的記錄,Field
1653,290-05,記憶的記錄,Field
1654,291-00,植物園 1,Field
1655,291-01,植物園 2,Field
1656,291-02,植物園 3,Field
1657,291-03,植物園 4,Field
1658,291-04,植物園 5,Field
1659,291-05,植物園 6,Field
1660,291-06,秘密倉庫 1,Field
1661,291-07,秘密倉庫 2,Field
1662,291-08,秘密倉庫 3,Field
1663,291-09,秘密倉庫 4,Field
1664,292-00,火山地帶 1,Single
1665,292-01,火山地帶 2,Single
1666,292-02,火山地帶 3,Single
1667,292-03,火山地帶 4,Single
1668,292-04,火山地帶 5,Single
1669,292-05,火山地帶 6,Single
1670,292-06,愛麗絲的第三座石塔,Safety zone
1671,293-00,白色平原,Single
1672,293-01,白色平原,Single
1673,293-02,白色平原,Single
1674,293-03,白色平原,Single
1675,293-04,白色平原,Single
1676,293-05,白色平原,Single
1677,293-06,白色平原,Single
1678,293-07,白色平原,Single
1679,293-08,白色平原,Single
1680,293-09,白色平原,Single
1681,293-10,白色平原,Single
1682,293-11,白色平原,Single
1683,293-12,白色平原,Single
1684,293-13,白色平原,Single
1685,293-14,白色平原,Single
1686,293-15,白色平原,Single
1687,293-16,白色平原,Single
1688,293-17,白色平原,Single
1689,293-18,白色平原,Single
1690,293-19,白色平原,Single
1691,293-20,白色平原,Single
1692,293-21,白色平原,Single
1693,293-22,白色平原,Single
1694,293-23,白色平原,Single
1695,293-24,白色平原,Single
1696,293-25,白色平原,Single
1697,293-26,白色平原,Single
1698,293-27,白色平原,Single
1699,293-28,白色平原,Single
1700,294-00,吉恩蒂亞倉庫1,Single
1701,294-01,吉恩蒂亞倉庫2,Single
1702,294-02,吉恩蒂亞倉庫3,Single
1703,294-03,吉恩蒂亞倉庫4,Single
1704,294-04,吉恩蒂亞倉庫5,Single
1705,294-05,吉恩蒂亞倉庫6,Single
1706,294-06,匠人的倉庫地帶,Field
1707,295-00,住宅區,Safety zone
1708,295-01,商店街,Safety zone
1709,295-02,校門口,Safety zone
1710,295-03,教室,Safety zone
1711,295-04,住宅區,Safety zone
1712,295-05,住宅區,Safety zone
1713,295-06,上學的路,Safety zone
1714,295-07,商店街,Safety zone
1715,295-08,校門口,Safety zone
1716,295-09,校門口,Safety zone
1717,295-10,教室,Safety zone
1718,295-11,教室,Safety zone
1719,295-12,雷比的教室,Safety zone
1720,295-13,卡茲諾的教室,Safety zone
1721,296-00,奇怪的夜晚,Field
1722,296-01,奇怪的夜晚,Field
1723,296-02,奇怪的夜晚,Field
1724,296-03,奇怪的夜晚,Field
1725,296-04,奇怪的夜晚,Field
1726,296-05,奇怪的夜晚,Field
1727,296-06,試驗門口,Field
1728,297-00,迷宮教室入口,PARTY
1729,297-01,1年級走廊,PARTY
1730,297-02,2年級走廊,PARTY
1731,297-03,3年級走廊,PARTY
1732,297-04,學生會走廊,PARTY
1733,297-05,迷宮教室 5,PARTY
1734,297-06,迷宮教室 6,PARTY
1735,297-07,迷宮教室 7,PARTY
1736,297-08,迷宮教室 8,PARTY
1737,297-09,迷宮教室 9,PARTY
1738,297-10,學生會教室,PARTY
1739,297-11,迷宮教室 11,PARTY
1740,297-12,迷宮教室 12,PARTY
1741,297-13,迷宮教室 13,PARTY
1742,297-14,1-1班,PARTY
1743,297-15,2-1班,PARTY
1744,297-16,3-1班,PARTY
1745,297-17,迷宮教室 17,PARTY
1746,297-18,迷宮教室 18,PARTY
1747,297-19,迷宮教室入口,PARTY
1748,297-20,迷宮教室 1,PARTY
1749,297-21,迷宮教室 2,PARTY
1750,297-22,迷宮教室 3,PARTY
1751,297-23,迷宮教室 4,PARTY
1752,297-24,迷宮教室 5,PARTY
1753,297-25,迷宮教室 6,PARTY
1754,297-26,迷宮教室 7,PARTY
1755,297-27,迷宮教室 8,PARTY
1756,297-28,迷宮教室 9,PARTY
1757,297-29,迷宮教室入口,PARTY
1758,297-30,迷宮教室入口,PARTY
1759,297-31,迷宮教室入口,PARTY
1760,297-32,1-2班,PARTY
1761,297-33,2-2班,PARTY
1762,297-34,3-2班,PARTY
1763,297-35,學生會教室,PARTY
1764,297-36,學生會教室,PARTY
1765,297-37,學生會教室,PARTY
1766,297-38,迷宮教室入口,PARTY
1767,297-39,迷宮教室入口,PARTY
1768,297-40,迷宮教室入口,PARTY
1769,297-41,最終試場,Single
1770,297-42,集中的時間,Single
1771,297-43,集中的時間,Single
1772,297-44,集中的時間,Single
1773,297-45,集中的時間,Single
1774,297-46,測試完成,Single
1775,298-00,我的房間,Field
1776,298-01,我的房間,Field
1777,298-02,我的房間,Field
1778,298-03,我的房間,Field
1779,299-00,我的房間,PARTY
1780,299-01,我的房間,PARTY
1781,299-02,我的房間,PARTY
1782,299-03,我的房間,PARTY
1783,300-00,白日夢住宅區,PARTY
1784,300-01,商店街,PARTY
1785,300-02,校門口,PARTY
1786,300-03,教室,PARTY
1787,300-04,空無一人的試場,Field
1788,301-00,怪物無理的襲擊!,PARTY
1789,301-01,奇怪的夜晚,PARTY
1790,301-02,奇怪的夜晚,PARTY
1791,302-00,怪物無理的襲擊!,PARTY
1792,302-01,奇怪的夜晚,PARTY
1793,302-02,奇怪的夜晚,PARTY
1794,302-03,仲夏夜的夜市,Field
1795,303-00,怪物無理的襲擊!,PARTY
1796,303-01,奇怪的夜晚,PARTY
1797,303-02,奇怪的夜晚,PARTY
1798,304-00,珊瑚樹林 1,Field
1799,304-01,珊瑚樹林 2,Field
1800,304-02,珊瑚樹林 3,Field
1801,304-03,珊瑚樹林 4,Field
1802,304-04,珊瑚樹林 5,Field
1803,304-05,珊瑚樹林 6,Field
1804,305-00,青空城大廳,Field
1805,306-00,石英洞窟 1,Field
1806,306-01,石英洞窟 2,Field
1807,306-02,石英洞窟 3,Field
1808,306-03,石英洞窟 4,Field
1809,307-00,暴風監視者廢墟 1,Field
1810,307-01,暴風監視者廢墟 2,Field
1811,307-02,暴風監視者廢墟 3,Field
1812,307-03,暴風監視者廢墟 4,Field
1813,307-04,暴風監視者廢墟 5,Field
1814,308-00,奧斯古拉斯臨時營區,Safety zone
1815,309-00,彼翠樹林 1,Field
1816,309-01,彼翠樹林 2,Field
1817,309-02,彼翠樹林 3,Field
1818,309-03,彼翠樹林 4,Field
1819,309-04,彼翠樹林 5,Field
1820,310-00,青空城競技場,PARTY
1821,310-01,青空城競技場,PARTY
1822,310-02,青空城競技場,PARTY
1823,310-03,青空城競技場,PARTY
1824,310-04,青空城競技場,PARTY
1825,310-05,愛麗絲的第六座石塔,Safety zone
1826,310-06,愛麗絲的第十座石塔,Safety zone
1827,311-00,古代訓練場 1,Field
1828,312-00,古代訓練場 2,Single
1829,313-00,吉納蒂亞聖地前,Field
1830,314-00,吉納蒂亞聖地,Single
1831,315-00,奧爾卡的領域 1,Field
1832,316-00,奧爾卡的領域 2,Single
1833,317-00,奧爾卡的領域 1,Field
1834,318-00,奧爾卡的領域 2,Single
1835,319-00,石英洞窟深處,Single
1836,319-01,石英洞窟深處,Single
1837,319-02,石英洞窟深處,Single
1838,319-03,石英洞窟深處,Single
1839,319-04,石英洞窟深處,Single
1840,319-05,石英洞窟深處,Single
1841,320-00,時空連結,Field
1842,321-00,紅高粱地 ~ 深淵 ~ 1,Field
1843,321-01,紅高粱地 ~ 深淵 ~ 2,Field
1844,321-02,紅高粱地 ~ 深淵 ~ 3,Field
1845,321-03,紅高粱地 ~ 深淵 ~ 4,Field
1846,321-04,紅高粱地 ~ 深淵 ~ 5,Field
1847,322-00,龍祭城 1,Field
1848,322-01,龍祭城 2,Field
1849,322-02,龍祭城 3,Field
1850,322-03,龍祭城 4,Field
1851,322-04,龍祭城 5,Field
1852,323-00,月華院 1,PARTY
1853,323-01,月華院 2,PARTY
1854,323-02,月華院 3,PARTY
1855,323-03,月華院 4,PARTY
1856,323-04,月華院 5,PARTY
1857,323-05,月華院 6,PARTY
1858,323-06,月華院 7,PARTY
1859,323-07,月華院 8,PARTY
1860,323-08,月華院 9,PARTY
1861,323-09,月華院 10,PARTY
1862,323-10,月華院 11,PARTY
1863,323-11,月華院 12,PARTY
1864,324-00,龍皇城 1,PARTY
1865,324-01,龍皇城 2,PARTY
1866,324-02,龍皇城 3,PARTY
1867,324-03,龍皇城 4,PARTY
1868,324-04,龍皇城 5,PARTY
1869,324-05,龍皇城 6,PARTY
1870,324-06,龍皇城 7,PARTY
1871,324-07,龍皇城 8,PARTY
1872,324-08,龍皇城 9,PARTY
1873,324-09,龍皇城 10,PARTY
1874,324-10,龍皇城 11,PARTY
1875,324-11,龍皇城 11,PARTY
1876,324-12,龍皇城 12,PARTY
1877,324-13,燃燒的龍皇城,PARTY
1878,324-14,燃燒的龍皇城,PARTY
1879,324-15,燃燒的龍皇城,PARTY
1880,325-00,未知的倉庫,Single
1881,325-01,未知的倉庫,Single
1882,325-02,未知的倉庫,Single
1883,325-03,未知的倉庫,Single
1884,325-04,未知的倉庫,Single
1885,325-05,未知的倉庫,Single
1886,325-06,未知的倉庫,Single
1887,325-07,未知的倉庫,Single
1888,325-08,未知的倉庫,Single
1889,325-09,未知的倉庫,Single
1890,325-10,未知的倉庫,Single
1891,325-11,未知的倉庫,Single
1892,325-12,未知的倉庫,Single
1893,325-13,未知的倉庫,Single
1894,325-14,未知的倉庫,Single
1895,325-15,未知的倉庫,Single
1896,325-16,未知的倉庫,Single
1897,325-17,未知的倉庫,Single
1898,325-18,未知的倉庫,Single
1899,325-19,未知的倉庫,Single
1900,325-20,未知的倉庫,Single
1901,325-21,未知的倉庫,Single
1902,325-22,未知的倉庫,Single
1903,325-23,未知的倉庫,Single
1904,325-24,未知的倉庫,Single
1905,325-25,未知的倉庫,Single
1906,325-26,未知的倉庫,Single
1907,325-27,未知的倉庫,Single
1908,325-28,未知的倉庫,Single
1909,325-29,未知的倉庫,Single
1910,325-30,愛麗絲的第七座石塔,Safety zone
1911,326-00,未知的倉庫,Single
1912,326-01,未知的倉庫,Single
1913,326-02,未知的倉庫,Single
1914,326-03,未知的倉庫,Single
1915,326-04,未知的倉庫,Single
1916,326-05,未知的倉庫,Single
1917,326-06,未知的倉庫,Single
1918,326-07,未知的倉庫,Single
1919,326-08,未知的倉庫,Single
1920,326-09,未知的倉庫,Single
1921,326-10,未知的倉庫,Single
1922,326-11,未知的倉庫,Single
1923,326-12,未知的倉庫,Single
1924,326-13,未知的倉庫,Single
1925,326-14,未知的倉庫,Single
1926,326-15,未知的倉庫,Single
1927,326-16,未知的倉庫,Single
1928,326-17,未知的倉庫,Single
1929,326-18,未知的倉庫,Single
1930,326-19,未知的倉庫,Single
1931,326-20,未知的倉庫,Single
1932,326-21,未知的倉庫,Single
1933,326-22,未知的倉庫,Single
1934,326-23,未知的倉庫,Single
1935,326-24,未知的倉庫,Single
1936,326-25,未知的倉庫,Single
1937,326-26,未知的倉庫,Single
1938,326-27,未知的倉庫,Single
1939,326-28,未知的倉庫,Single
1940,326-29,未知的倉庫,Single
1941,326-30,愛麗絲的第七座石塔,Safety zone
1942,327-00,未知的倉庫,Single
1943,327-01,未知的倉庫,Single
1944,327-02,未知的倉庫,Single
1945,327-03,未知的倉庫,Single
1946,327-04,未知的倉庫,Single
1947,327-05,未知的倉庫,Single
1948,327-06,未知的倉庫,Single
1949,327-07,未知的倉庫,Single
1950,327-08,未知的倉庫,Single
1951,327-09,未知的倉庫,Single
1952,327-10,未知的倉庫,Single
1953,327-11,未知的倉庫,Single
1954,327-12,未知的倉庫,Single
1955,327-13,未知的倉庫,Single
1956,327-14,未知的倉庫,Single
1957,327-15,未知的倉庫,Single
1958,327-16,未知的倉庫,Single
1959,327-17,未知的倉庫,Single
1960,327-18,未知的倉庫,Single
1961,327-19,未知的倉庫,Single
1962,327-20,未知的倉庫,Single
1963,327-21,未知的倉庫,Single
1964,327-22,未知的倉庫,Single
1965,327-23,未知的倉庫,Single
1966,327-24,未知的倉庫,Single
1967,327-25,未知的倉庫,Single
1968,327-26,未知的倉庫,Single
1969,327-27,未知的倉庫,Single
1970,327-28,未知的倉庫,Single
1971,327-29,未知的倉庫,Single
1972,328-00,未知的倉庫,Single
1973,328-01,未知的倉庫,Single
1974,328-02,未知的倉庫,Single
1975,328-03,未知的倉庫,Single
1976,328-04,未知的倉庫,Single
1977,328-05,未知的倉庫,Single
1978,328-06,未知的倉庫,Single
1979,328-07,未知的倉庫,Single
1980,328-08,未知的倉庫,Single
1981,328-09,未知的倉庫,Single
1982,328-10,未知的倉庫,Single
1983,328-11,未知的倉庫,Single
1984,328-12,未知的倉庫,Single
1985,328-13,未知的倉庫,Single
1986,328-14,未知的倉庫,Single
1987,328-15,未知的倉庫,Single
1988,328-16,未知的倉庫,Single
1989,328-17,未知的倉庫,Single
1990,328-18,未知的倉庫,Single
1991,328-19,未知的倉庫,Single
1992,328-20,未知的倉庫,Single
1993,328-21,未知的倉庫,Single
1994,328-22,未知的倉庫,Single
1995,328-23,未知的倉庫,Single
1996,328-24,未知的倉庫,Single
1997,328-25,未知的倉庫,Single
1998,328-26,未知的倉庫,Single
1999,328-27,未知的倉庫,Single
2000,328-28,未知的倉庫,Single
2001,328-29,未知的倉庫,Single
2002,328-30,愛麗絲的第十三座石塔,Safety zone
2003,329-00,未知的倉庫,Single
2004,329-01,未知的倉庫,Single
2005,329-02,未知的倉庫,Single
2006,329-03,未知的倉庫,Single
2007,329-04,未知的倉庫,Single
2008,329-05,未知的倉庫,Single
2009,329-06,未知的倉庫,Single
2010,329-07,未知的倉庫,Single
2011,329-08,未知的倉庫,Single
2012,329-09,未知的倉庫,Single
2013,329-10,未知的倉庫,Single
2014,329-11,未知的倉庫,Single
2015,329-12,未知的倉庫,Single
2016,329-13,未知的倉庫,Single
2017,329-14,未知的倉庫,Single
2018,329-15,未知的倉庫,Single
2019,329-16,未知的倉庫,Single
2020,329-17,未知的倉庫,Single
2021,329-18,未知的倉庫,Single
2022,329-19,未知的倉庫,Single
2023,329-20,未知的倉庫,Single
2024,329-21,未知的倉庫,Single
2025,329-22,未知的倉庫,Single
2026,329-23,未知的倉庫,Single
2027,329-24,未知的倉庫,Single
2028,329-25,未知的倉庫,Single
2029,329-26,未知的倉庫,Single
2030,329-27,未知的倉庫,Single
2031,329-28,未知的倉庫,Single
2032,329-29,未知的倉庫,Single
2033,330-00,未知的圖書館 1,Single
2034,330-01,未知的圖書館 2,Single
2035,330-02,未知的圖書館 3,Single
2036,331-00,特洛里,Safety zone
2037,332-00,隱藏的洞窟1,PARTY
2038,332-01,隱藏的洞窟2,PARTY
2039,332-02,隱藏的洞窟3,PARTY
2040,332-03,隱藏的洞窟4,PARTY
2041,332-04,隱藏的洞窟5,PARTY
2042,332-05,隱藏的洞窟6,PARTY
2043,332-06,隱藏的洞窟7,PARTY
2044,332-07,隱藏的洞窟8,PARTY
2045,332-08,隱藏的洞窟9,PARTY
2046,332-09,愛麗絲的第八座石塔,Safety zone
2047,333-00,菇菇森林1,Field
2048,333-01,菇菇森林2,Field
2049,333-02,菇菇森林3,Field
2050,333-03,菇菇森林4,Field
2051,333-04,菇菇森林5,Field
2052,333-05,菇菇森林6,Field
2053,333-06,奇幻草原,Safety zone
2054,334-00,毀壞之城1,PARTY
2055,334-01,毀壞之城2,PARTY
2056,334-02,毀壞之城3,PARTY
2057,334-03,毀壞之城4,PARTY
2058,334-04,毀壞之城5,PARTY
2059,334-05,毀壞之城6,PARTY
2060,334-06,毀壞之城7,PARTY
2061,334-07,毀壞之城8,PARTY
2062,334-08,毀壞之城9,PARTY
2063,334-09,毀壞之城10,PARTY
2064,334-10,毀壞之城11,PARTY
2065,335-00,佈滿青苔的小章魚神殿1,Field
2066,335-01,佈滿青苔的小章魚神殿2,Field
2067,335-02,佈滿青苔的小章魚神殿3,Field
2068,335-03,佈滿青苔的小章魚神殿4,Field
2069,335-04,佈滿青苔的小章魚神殿5,Field
2070,335-05,佈滿青苔的小章魚神殿6,Field
2071,335-06,佈滿青苔的小章魚神殿7,Field
2072,335-07,佈滿青苔的小章魚神殿8,Field
2073,336-00,歐若拉森林 1,Field
2074,336-01,歐若拉森林 2,Field
2075,336-02,歐若拉森林 3,Field
2076,336-03,歐若拉森林 4,Field
2077,336-04,歐若拉森林 5,Field
2078,336-05,歐若拉森林 6,Field
2079,337-00,歐若拉庭院 1,PARTY
2080,337-01,歐若拉庭院 2,PARTY
2081,337-02,歐若拉庭院 3,PARTY
2082,337-03,歐若拉庭院 4,PARTY
2083,337-04,歐若拉庭院 5,PARTY
2084,337-05,歐若拉庭院 6,PARTY
2085,337-06,歐若拉活動 3,Safety zone
2086,337-07,歐若拉活動 4,Safety zone
2087,337-08,歐若拉的庭院派對,Safety zone
2088,337-09,愛麗絲的第九座石塔,Safety zone
2089,338-00,2017年活動地圖,Safety zone
2090,338-01,1層活動大廳,Safety zone
2091,338-02,2層活動大廳,Safety zone
2092,338-03,3層活動大廳,Safety zone
2093,338-04,4層活動大廳,Safety zone
2094,338-05,5層活動大廳,Safety zone
2095,338-06,6層活動大廳,Safety zone
2096,338-07,7層活動大廳,Safety zone
2097,338-08,8層活動大廳,Safety zone
2098,338-09,9層活動大廳,Safety zone
2099,338-10,10層活動大廳,Safety zone
2100,338-11,守護春大廳,Safety zone
2101,338-12,守護春,Safety zone
2102,338-13,守護春獎勵,Safety zone
2103,338-14,攻擊在於時機大廳,Safety zone
2104,338-15,攻擊在於時機大廳,Safety zone
2105,338-16,攻擊在於時機獎勵,Safety zone
2106,339-00,自由貿易都市立佩拉,Field
2107,340-00,魔石實驗室大廳,PARTY
2108,340-01,魔石實驗室地下暗渠 1,PARTY
